Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-dot-v2,130.39,4100.32,24.18,22.58,20.73,18.4,16.92,15.6,15.71,16.6,17.36,17.41,17.96,18.03,3579.34,1237.11,18.64,18.69,18.63,18.62,18.19,17.6,17.41,17.08,17.12,17.49,17.28,17.54,17.78,18.06,18.12
dongfangsz02-dot-v2,76.33,5498.73,14.61,12.42,11.08,9.15,8.43,8.12,7.2,7.08,7.01,6.8,6.86,7.01,2244.09,1223.96,7.03,7.1,7.1,7.11,7.13,7.13,7.24,7.31,7.42,7.79,7.69,7.59,7.54,7.64,7.59
ft100-dot-v2,99.25,4131.76,25.46,23.75,22.34,20.08,18.87,18.52,17.18,16.96,16.48,16.03,16,15.92,2386.42,1233.15,15,15.11,15.06,15.04,14.91,14.68,14.5,14.35,14.21,14.47,14.2,14.01,14.16,14.46,14.49
ft11-dot-v2,128.77,4120.36,26.07,24.88,23.16,20.92,19.97,19.81,18.91,18.74,18.48,18.27,18.27,18.29,3244.25,1241.71,18.04,18.2,18.21,18.18,18.16,18.04,18.11,18.18,18.06,18.35,18.38,18.18,18.45,18.78,18.82
gfsz01-dot-v2,131.06,4117.72,15.1,13.89,11.78,9.72,9,8.59,7.36,7.35,7.19,6.93,7.08,7.08,3076.07,1235.67,7.13,7.13,7.12,7.11,7.03,7.04,7.02,6.98,7,7.39,7.25,7.15,6.94,7.2,7.17
guoxinsz03-dot-v2,111.99,4108.48,14.15,13.08,11.48,9.42,8.61,8.38,7.5,7.57,7.5,7.35,7.45,7.5,2988,1239.25,7.23,7.19,7.24,7.21,7.15,7.14,7.2,7.16,7.17,7.5,7.45,7.18,7.2,7.4,7.35
guoxinsz03-dot-v5,112.01,4108.04,14.25,13.26,11.63,9.58,8.75,8.49,7.63,7.62,7.55,7.43,7.52,7.5,3146.39,1230.59,7.25,7.31,7.26,7.24,7.18,7.16,7.22,7.19,7.18,7.53,7.47,7.22,7.17,7.44,7.43
guoxinsz04-dot-v2,76.61,4123.31,14.42,12.98,11.63,9.55,8.69,8.58,7.66,7.74,7.65,7.5,7.63,7.62,2373.13,1223.92,7.36,7.37,7.37,7.36,7.33,7.27,7.28,7.32,7.35,7.68,7.57,7.39,7.27,7.45,7.39
guoxinsz04-dot-v5,76.56,4124.68,14.65,13.1,11.98,9.73,8.78,8.64,7.73,7.77,7.69,7.55,7.63,7.65,2266.7,1225.31,7.4,7.44,7.4,7.4,7.36,7.26,7.33,7.34,7.38,7.71,7.62,7.45,7.32,7.47,7.42
guoxinsz05-dot-v2,no data,no data,no data,no data,no data,no data,no data,7.41,7.39,7.57,7.42,7.3,7.43,7.31,2360.78,1229.33,7.14,7.18,7.16,7.3,7.12,7.12,7.13,7.15,7.14,7.43,7.36,7.18,7.15,7.34,7.29
guoxinsz05-dot-v5,no data,no data,no data,no data,no data,no data,no data,7.47,7.44,7.61,7.43,7.31,7.47,7.33,2361.14,1229.47,7.16,7.21,7.19,7.32,7.12,7.13,7.16,7.17,7.16,7.43,7.38,7.19,7.15,7.33,7.28
hb02-dot-v2,125.63,4099.41,22.3,20.82,19.16,17.31,16.41,16,15.23,15.13,15.1,14.92,15.05,15.1,3765.15,1248.97,14.83,14.85,14.9,14.91,14.83,14.77,14.86,14.81,14.78,15.25,15.1,14.96,14.79,15.01,14.97
hb04-dot-v2,125.41,4082.82,22.57,20.89,19.17,16.79,16.23,16.07,15.21,15.08,15.08,14.92,15.01,15.08,3541.31,1235.19,14.79,14.85,14.83,14.86,14.81,14.75,14.78,14.75,14.8,15.15,15.04,14.98,14.74,14.86,14.86
