Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-dot-v2,181.23,7010.9,27.35,23.73,23.55,20.72,17.93,15.83,16.04,16.17,16.55,16.5,16.67,17.38,1603.52,831.19,18,17.85,17.93,17.95,17.64,17.25,16.8,16.82,16.96,16.7,16.59,16.44,16.67,16.87,16.93
dongfangsz02-dot-v2,79.77,7467.39,15.46,12.93,12.81,10.23,8.45,6.95,6.82,6.39,6.17,6.13,6.08,6.23,2233.45,817.15,6.85,6.7,6.9,6.85,6.94,7.01,6.75,6.77,6.75,6.67,6.85,6.82,6.69,6.71,6.76
ft100-dot-v2,106.54,7072.14,26.69,24.19,23.99,21.05,19,17.48,17.4,17.27,16.93,16.64,16.54,16.28,2502.16,828.48,17.09,16.99,17.11,17.34,17.18,17.14,17.01,16.87,16.79,16.53,16.61,16.5,16.74,16.8,16.94
ft11-dot-v2,125.84,7050.64,27.42,25.3,25.07,22.32,20.04,18.28,18.14,17.82,17.82,17.62,17.56,17.63,1613.26,831.46,17.85,17.7,17.85,17.9,17.87,17.89,17.85,17.74,17.78,17.7,17.75,17.66,17.89,18.06,18.15
gfsz01-dot-v2,102.81,7053.36,17.44,15.25,15.25,12.45,10.52,7.74,7.39,6.88,6.68,6.53,6.42,6.44,2115.61,839.16,6.72,6.44,6.82,6.84,6.8,6.66,6.52,6.68,6.79,6.53,6.7,6.74,6.39,6.46,6.47
guoxinsz03-dot-v2,95.07,7029.92,15.47,13.41,13.24,10.53,8.7,7.36,7.37,7.2,7.19,7.11,7.05,7.1,1585.98,817.67,6.79,6.56,6.82,6.78,6.75,6.61,6.52,6.5,6.43,6.36,6.45,6.42,6.29,6.31,6.38
guoxinsz03-dot-v5,124.81,7026.75,17.15,13.56,13.39,10.76,8.91,7.44,7.45,7.25,7.21,7.12,7.07,7.14,1582.1,817.4,6.82,6.6,6.84,6.81,6.77,6.64,6.54,6.53,6.46,6.38,6.47,6.45,6.28,6.32,6.38
guoxinsz04-dot-v2,80.22,7059.3,15.95,13.64,13.46,10.69,8.88,7.54,7.51,7.38,7.27,7.27,7.22,7.24,2491.87,822.73,6.9,6.69,6.9,7.05,6.83,6.78,6.61,6.6,6.63,6.5,6.59,6.57,6.44,6.43,6.49
guoxinsz04-dot-v5,80.37,7061.47,16.28,13.75,13.56,10.96,8.98,7.61,7.59,7.39,7.31,7.29,7.2,7.26,2488.52,826.04,6.91,6.7,6.91,7.09,6.86,6.78,6.61,6.63,6.65,6.57,6.64,6.61,6.45,6.43,6.44
guoxinsz05-dot-v2,67.41,7071.83,15.99,13.2,12.75,10.31,8.55,7.29,7.27,7.16,7.11,7.07,7.06,7.06,1929,819.05,6.72,6.49,6.75,6.76,6.67,6.55,6.45,6.42,6.46,6.29,6.41,6.38,6.29,6.31,6.3
guoxinsz05-dot-v5,67.42,7071.98,16.02,13.27,12.87,10.47,8.6,7.35,7.3,7.19,7.13,7.08,7.06,7.08,1929.45,819.12,6.74,6.51,6.79,6.76,6.7,6.56,6.47,6.44,6.49,6.29,6.42,6.4,6.3,6.32,6.31
hb02-dot-v2,232.64,6982.17,24.61,21.11,20.98,18.23,16.48,15.02,15.08,14.84,14.85,14.72,14.66,14.67,1522.48,837.07,14.25,14.1,14.3,14.36,14.21,14.15,14.06,14.03,14.08,13.98,14.04,14.08,13.82,13.86,13.93
hb04-dot-v2,103.64,7009.57,24.96,21.39,21.24,18.3,16.98,15.25,15.25,14.95,14.91,14.77,14.7,14.66,1697.71,830.82,14.28,14.1,14.36,14.33,14.28,14.19,14.08,14.09,14.16,13.98,14.12,14.18,13.8,13.88,13.92
hb04-dot-v5,104.57,7009.89,24.8,21.42,21.19,18.4,16.86,15.19,15.22,14.96,14.91,14.77,14.74,14.67,1625.47,828.89,14.29,14.14,14.36,14.37,14.32,14.2,14.06,14.11,14.13,14,14.18,14.24,13.77,13.86,13.92
hb08-dot-v2,88.81,7068.89,23,20.65,20.53,17.91,16.17,14.91,14.9,14.73,14.73,14.63,14.65,14.56,2383.27,823.83,14.12,14,14.15,14.32,14.11,14.07,14,13.88,14.03,13.84,13.94,13.9,13.83,13.84,13.83
