Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-dot-v2,263.05,10751.29,26730.08,16498.07,893.19,199.13,192.7,176.93,174.62,165.82,165.28,157.13,155.59,147.6,1409.97,1845.94,128.54,129.14,130.8,129.06,129.58,123.07,120.58,124.75,123.74,121.17,124.13,127.51,126.41,no data,no data
dongfangsz02-dot-v2,484.27,10671.64,26990.27,15733.92,985.01,234.1,229.5,214.61,212.44,213.83,206.12,207.88,206.11,197.84,893.63,1956.72,197.9,202.04,203.29,201.3,202.52,201.6,199.1,204.82,207.58,201.77,208.26,219.13,218.93,no data,no data
ft100-dot-v2,294.38,10662.19,26986.52,16793.56,938.86,199.67,193.93,178.5,176.01,167,165.69,157.46,155.49,146.72,921.73,1839.22,127.7,128.35,130.16,129.21,129.19,123.15,120.71,124.57,124.11,121.19,124.25,127.74,126.27,no data,no data
ft11-dot-v2,240.97,10717.42,27012.45,16678.91,918.8,201.04,195.08,179.36,176.41,167.33,166.6,158.41,156.37,147.66,1369.74,1846.19,128.25,128.84,130.6,128.87,129.71,123.55,121.57,125.57,124.46,122.06,125.18,128.54,127.51,no data,no data
gfsz01-dot-v2,330.74,10699.25,27018.58,16729.43,945.46,221.99,217.1,196.74,193.04,181.33,180.46,172.08,168.8,159.94,1189.76,1888.83,141.64,142.2,143.98,143.59,143.28,136.89,134.91,139.3,139.01,135.74,140.4,143.63,142.3,no data,no data
guoxinsz03-dot-v2,219,10731.52,27026.58,16631.21,915.73,208.19,203.55,187.11,185.35,174.9,174.3,166.19,163.76,155.42,1448.63,1853.39,136.81,137.58,138.62,137.85,138.18,132.22,130.75,134.6,133.52,131.07,135.54,137.97,137.04,no data,no data
guoxinsz03-dot-v5,243.96,10744.15,26710.5,16597.84,913.42,210.61,205.47,188.65,186.81,175.97,175.01,167.06,164.43,155.98,1469.06,1853.87,137.49,138.11,139.22,138.37,138.61,132.69,131.13,135.05,133.95,131.45,136.05,138.6,137.61,no data,no data
guoxinsz04-dot-v2,291.95,10663.34,27002.69,16789.38,944.29,208.73,203.66,187.29,185.72,175.29,174.66,166.54,163.93,156,945.3,1848.36,136.98,137.58,139,138.81,138.31,132.63,130.83,134.5,134.53,131.39,135.66,138.4,136.89,no data,no data
guoxinsz04-dot-v5,293.93,10658.85,27003.64,16810.2,946.7,210.79,204.91,188.88,186.57,175.92,175.34,167.22,164.46,156.42,975.26,1849.49,137.71,138,139.51,139.25,138.78,132.97,131.19,134.84,134.97,131.76,136.28,138.99,137.49,no data,no data
guoxinsz05-dot-v2,281.49,10610.65,26977.93,15726.89,823.58,205.6,200.99,185.52,183.57,174.29,173.44,165.56,163.42,155.38,645.23,1856.26,136.09,137.01,138,137.8,137.58,131.74,130.39,133.81,133.27,130.62,134.78,137.3,136.01,no data,no data
guoxinsz05-dot-v5,285.43,10612.89,26978.75,15727.81,823.05,207.37,201.96,186.51,184.4,174.88,174.2,166.07,163.77,155.76,647,1857.13,136.38,137.27,138.31,138.1,137.87,131.97,130.6,134.05,133.59,130.88,135.08,137.7,136.36,no data,no data
hb01-v16,275.04,11068.88,26994.07,15953.21,877.81,197.55,191.47,175.57,174.37,165.72,165.03,156.78,155.61,145.61,305.9,1853.58,123.6,125.09,126.99,126.78,125.6,119.74,117.97,120.86,120.43,117.74,120.56,124.17,122.42,no data,no data
hb02-dot-v2,276.91,10775.68,26783.57,16220.52,848.88,198.09,191.95,177.08,174.94,165.8,165.02,156.54,154.82,145.94,1719.41,1858.99,126.07,126.55,128.44,127.37,127.3,121.14,119.2,122.93,122.07,119.96,122.98,126.44,125.37,no data,no data
hb04-dot-v2,229.95,10748.04,26750.16,16355.09,871.58,198.31,194.92,179.14,177.59,167.16,166.67,157.85,155.91,146.83,1283.57,1851.21,126.98,127.38,129.33,127.83,128.25,122.01,119.42,123.92,123.04,120.42,123.8,127.56,125.7,no data,no data
