Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-dot-fast-index,3,2.2,2.4,2.6,2.2,2.2,1.4,0.4,0.2,1.2,2.2,2.4,3,3,3.6,3.4,3,3,3,3,2.2,2,2,2,2.2,2.2,2.2,2.2,0,no data,no data
hlsz01-dot-fast-index,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,no data
hlsz08-dot-fast-index,8.4,2.4,1.8,2.6,4,2.8,2,1.6,1.2,1.2,1.2,1.2,1,1.2,2,1.6,1,1,1,1,1,1,1,1,1,1,1,1.2,0,no data,no data
xtpsh06-dot-fast-index,0,2,1.75,1.75,2,2,1.75,1.25,0.75,0.75,0.25,0.25,0.25,0.25,1.75,2,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.75,0,no data,no data
xtpsh08-dot-fast-index,0.8,1.4,1.4,1.6,1.6,1.4,1,0.8,0.4,0.4,0.2,0.2,0.2,0.2,1.4,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,no data
xtpsh10-dot-fast-index,13,0.6,1,0.6,0.6,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.6,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0.2,0.2,0.2,0,no data,no data
xtpsh12-dot-fast-index,12.2,0.6,0.6,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.6,0.2,0.2,0,0.2,0,0,0,0,0,0,0.2,0.2,0,no data,no data
xtpsh13-dot-fast-index,0,0.6,1,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0,0.6,0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0,no data,no data
xtpsh14-dot-fast-index,7.6,0.6,1,0.6,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0,0,0.4,0.6,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,no data,no data
xtpsh15-dot-fast-index,11.5,1.75,1.5,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.75,0.25,0.25,0.25,0,0.25,0,0,0,0,0.25,0.25,0.25,0,no data,no data
ztcffex01-dot-fast-index,19.4,1.4,1.2,1,0.6,0.6,0.4,0.6,0.4,0.4,0.4,0.2,0.2,0.2,0,1.6,0.4,0.6,0.6,0.4,0.6,0.6,0.2,0.2,0.2,0.6,0.6,0.8,0,no data,no data
ztcffex02-dot-fast-index,8.2,1.2,1.2,0.6,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,1.4,1.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0,1,no data
