Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-dot-v2,186.14,236.39,114.23,111.94,110.46,112.49,107.65,104.01,101.57,102.43,102.84,105.36,100.37,103.35,373.76,177.36,108.58,106.27,105.76,104.93,105.52,105.44,110.42,110.22,113.38,114.49,116.92,119.21,120.78,120.65,121.86
dongfangsz02-dot-v2,140.91,346.16,177.94,176.73,177.61,176.04,172.03,174.81,175.46,181.65,181.65,185.35,178.03,181.97,463.81,263.33,199.6,197.83,191.49,194.56,192.94,192.57,201.7,195.06,196.21,200.38,200.28,191.4,186.14,183.91,188.63
ft100-dot-v2,71.92,241.44,115.12,112.66,111.15,112.87,108.44,105.61,102.41,102.23,100.77,102.81,96.96,99.4,411.87,179.26,109.98,107.68,107.05,106.46,107.18,107.53,111.81,111.02,113.37,114.31,116.4,118.78,120.22,119.73,121.18
ft11-dot-v2,187.78,239.76,115.82,113.45,111.97,113.77,109.64,106.5,103.81,104.18,103.22,105.02,100.11,102.67,365.98,176.92,108.18,105.96,105.34,104.64,105.47,105.74,110.69,110.72,113.15,114.81,117.7,120.25,121.39,121.49,122.47
gfsz01-dot-v2,196.5,263.87,126.23,124.06,121.78,123.83,119.73,116.08,113.8,114.19,113.43,115.05,110.13,112.53,399.73,189.51,118.26,115.93,115.42,115.15,115.3,116.27,120.62,120.95,122.97,125.32,127.6,129.98,131.08,130.14,132.27
guoxinsz03-dot-v2,120.22,246.35,122.65,120.51,118.82,120.86,116.7,113.66,111.19,111.69,111.01,112.82,107.69,110.09,381.4,184.26,115.59,113.68,113.01,111.93,113.02,113.45,118.31,118.47,120.72,121.99,124.82,127.28,128.58,128.81,129.89
guoxinsz03-dot-v5,121.45,247.23,123.33,121.09,119.28,121.18,117.13,113.96,111.56,112.02,111.32,113.1,107.95,110.26,376.87,184.59,115.96,113.83,113.12,112.29,113.22,113.65,118.59,118.73,120.73,122.64,124.81,127.56,128.49,128.35,129.85
guoxinsz04-dot-v2,68.53,247.84,123.03,120.73,119.06,120.81,116.72,113.93,111.38,111.77,111.13,112.93,107.58,110.19,418.39,184.13,115.76,113.71,112.96,112.15,113.13,113.62,118.53,118.61,121.12,122.18,125.5,127.66,129.06,128.7,130.19
guoxinsz04-dot-v5,70.41,249.11,123.7,121.3,119.56,121.19,117.09,114.27,111.82,112.15,111.48,113.15,107.89,110.41,416.34,184.48,116.13,114.04,113.29,112.49,113.39,113.93,118.82,118.86,121.32,122.49,125.65,127.74,129.07,128.99,130.39
guoxinsz05-dot-v2,63.39,246.48,121.42,119.09,118.03,119.63,115.61,113.16,110.65,110.98,110.34,112.02,107.02,109.38,448.72,183.7,114.87,113.23,112.42,111.93,112.32,113.16,117.61,117.9,120.01,121.51,123.96,126.64,128.12,128.23,129.31
guoxinsz05-dot-v5,63.83,247.35,121.76,119.35,118.3,119.9,115.78,113.34,110.86,111.14,110.55,112.14,107.21,109.58,448.88,183.91,115.04,113.33,112.6,112.06,112.43,113.33,117.75,118.06,120.24,121.73,124.2,126.82,128.21,128.33,129.41
hb01-v16,35.69,199.44,114.9,112.56,110.8,112.55,108.28,106.22,103.39,103.62,103.52,104.49,100.25,102.62,489.29,166.69,107.9,105.5,104.89,104.16,104.49,104.47,108.01,107.6,110.63,110.85,113.27,116.34,118.55,116.93,119.6
hb02-dot-v2,236.83,235.98,113.02,110.16,108.76,110.73,107.06,103.65,101.11,101.84,100.93,103.18,97.88,99.43,342.12,175.02,106.28,103.92,103.07,103.18,102.9,104.28,108.49,108.6,110.64,113.42,114.57,118.03,119.01,118.91,119.6
hb04-dot-v2,185.16,236.57,114.36,111.78,109.51,111.74,107.43,104.94,102.08,102.54,101.46,103.39,98.2,100.74,381.73,176.57,107.1,104.19,103.54,103.4,103.42,104.88,108.58,109.08,111.24,113.49,115.25,118.32,119.77,118.95,120.29
hb04-dot-v5,180.29,237.39,114.49,112.14,110.63,111.77,107.93,105.35,102.92,103.29,102.41,103.94,98.98,101.32,375.84,176.93,107.49,105.04,104.55,103.71,104.64,104.78,109.8,109.59,112.2,115.05,116.85,118.61,119.46,119.46,120.19
hb08-dot-v2,108.67,235.19,111.5,109.37,108.14,110.04,106.09,103.46,100.88,101.3,100.51,102.42,97.24,99.94,383.31,167.21,105.25,103.17,102.69,102.06,102.58,103.17,107.85,108.15,110.71,111.94,114.47,116.97,118.39,117.99,119.55
hb09-dot-v2,108.39,235.73,111.58,109.2,107.98,109.94,105.89,103.43,100.84,101.21,100.42,102.23,97.04,99.86,377.67,174.03,105.09,103.07,102.57,102.05,102.4,103.35,107.74,108.14,110.15,111.57,114.35,116.92,118.31,118.27,119.34
hb09-dot-v5,110.05,236.21,112.07,109.94,108.55,110.28,106.28,103.82,101.09,101.52,100.69,102.58,97.35,100.17,378.52,174.41,105.45,103.41,102.89,102.49,102.67,103.71,107.97,108.37,110.54,112.06,114.74,117.26,118.88,118.71,119.47
hb09-dot-v5_xuxin,108.37,234.16,110.21,108.27,106.4,108.37,104.01,101.53,99.36,99.95,99.09,101.14,95.76,98.55,377.61,172.16,103.84,101.96,101.32,100.67,100.99,101.85,106.37,105.72,108.27,109.45,112.8,115.28,117.99,117.04,118.26
