Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-dot-v2,202.58,7750.82,25.87,25,23.39,22.24,17.14,16.14,16.33,16.9,18.07,18.85,19.13,19.43,3581.1,2184.72,19.58,19.55,19.43,19.42,19.17,18.8,18.88,18.91,19.18,19.16,19.12,19.23,19.15,19.2,19.16
dongfangsz02-dot-v2,113.37,7718.02,15.26,14.48,13.13,12.16,8.1,7.84,7.8,7.73,7.64,7.68,7.76,7.85,2709.12,2231.55,8.79,8.75,8.66,8.67,8.79,8.97,9.04,9.18,9.25,9.21,9.36,9.68,9.42,9.46,9.42
ft100-dot-v2,130.33,7738.44,26.43,25.76,24.07,22.88,18.24,17.72,17.2,16.74,16.03,16.32,15.85,15.46,2730.59,2189.3,20.98,20.97,20.9,20.93,20.98,20.95,20.24,19.59,19.16,18.9,18.62,18.64,18.44,18.47,18.39
ft11-dot-v2,190.39,7745.23,27.42,26.53,24.82,23.72,19.17,18.82,18.77,18.68,18.52,18.56,18.9,18.87,3653.64,2185.71,19.28,19.3,19.2,19.23,19.37,19.3,19.33,19.58,19.48,19.46,19.7,20.11,20.06,20.14,20.13
gfsz01-dot-v2,177.3,7733.6,17.15,18.21,15.27,13.87,8.81,8.17,8.14,8.2,8.09,8.09,8.22,8.27,3264.49,2185.02,8.92,8.86,8.76,8.78,8.8,8.83,8.89,8.94,8.99,8.97,9.07,9.45,8.99,9.02,8.95
guoxinsz03-dot-v2,133.81,7733.48,16.05,15.22,13.58,12.5,8.21,7.99,8,8.07,8.03,8.09,8.2,8.24,3526.98,2173.99,8.78,8.75,8.65,8.68,8.73,8.78,8.84,8.9,8.94,8.95,9.05,9.35,9.03,9.07,9
guoxinsz03-dot-v5,134.31,7733.71,16.42,15.67,14.01,12.85,8.36,8.09,8.07,8.13,8.08,8.12,8.24,8.28,3609.78,2171.32,8.82,8.79,8.68,8.72,8.77,8.81,8.87,8.92,8.96,8.97,9.06,9.42,9.04,9.07,9
guoxinsz04-dot-v2,108.3,7730.72,16.04,15.48,13.8,12.68,8.33,8.1,8.12,8.2,8.16,8.22,8.34,8.38,2636.43,2170.84,8.91,8.87,8.76,8.8,8.82,8.9,8.95,9.01,9.05,9.04,9.16,9.45,9.15,9.18,9.11
guoxinsz04-dot-v5,108.77,7731.41,16.44,16.03,14.4,12.98,8.44,8.24,8.17,8.24,8.21,8.25,8.38,8.41,2657.75,2170.72,8.94,8.91,8.81,8.84,8.86,8.94,8.99,9.05,9.07,9.07,9.19,9.53,9.16,9.19,9.13
guoxinsz05-dot-v2,88.38,7727.81,15.34,14.59,13.1,12.14,8.08,7.91,7.96,8.02,7.99,8.05,8.16,8.19,2135.97,2180.6,8.73,8.7,8.59,8.66,8.65,8.75,8.84,8.86,8.9,8.91,8.99,9.2,9.02,9.06,8.98
