Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-dot-v2,282.58,9715.77,24323.85,18238.9,1871.23,215.1,199.95,194.51,181.09,180.05,173.24,168.88,162.47,160.02,1516.64,3797.96,144.09,142.47,144.31,143.78,143.94,130.23,131.4,124.28,127.4,128.88,125.94,131.17,129.01,no data,no data
dongfangsz02-dot-v2,189.79,9670.22,24662.18,17663.76,2063.43,251.09,226.52,224.59,218.72,215.27,211.48,209.1,204.64,201.51,1032.82,3917.53,221.44,215.71,219.61,217.53,219.37,208.87,208.63,201.84,210.29,210.55,208.63,218.22,214.33,no data,no data
ft100-dot-v2,163.86,9634.38,24645.07,18472.14,1989.33,215,198.74,193.12,179.09,177.48,169.46,164.78,160.83,157.77,954.76,3806.66,146.21,144.89,146.68,146.21,147.3,134.69,136.41,126.87,129.86,130.96,127.79,132.39,130.07,no data,no data
ft11-dot-v2,244.74,9698.34,24296.48,18324.23,1908.69,217.06,201.6,195.98,182.74,181.75,173.57,169.31,162.32,159.49,1556.89,3801.13,143.6,142.15,143.94,143.38,144.04,131.08,132.41,125.33,128.31,129.71,126.83,131.77,129.67,no data,no data
gfsz01-dot-v2,235.08,9666.72,24677.87,18424.62,1970.85,235.48,216.9,210.04,195.16,194.31,186.15,180.9,173.34,170.26,1141.85,3832.7,156.87,154.41,156.85,156.38,156.5,142.65,143.86,136.87,140.75,141.76,139.47,144.61,142.32,no data,no data
guoxinsz03-dot-v2,248.54,9715.07,24332,18264.02,1882.01,225.25,209.75,203.34,190.2,189.46,181.42,177.06,170.46,167.84,1354.08,3817.11,152.72,150.57,152.82,152.61,152.73,139.78,141.29,134.35,137.36,138.76,136.3,141.18,138.65,no data,no data
guoxinsz03-dot-v5,253.81,9715.2,24347.83,18222.27,1862.41,227.28,211.74,205.17,191.44,190.76,182.38,178.07,171.16,168.49,1382.22,3813.63,153.52,151.29,153.65,153.39,153.72,140.43,141.72,134.84,137.96,139.37,137.09,142.34,139.54,no data,no data
guoxinsz04-dot-v2,308.32,9640.3,24653.56,18482.86,1988.52,226.02,209.36,203.53,190.24,189.57,181.74,177.39,170.35,168.06,916.1,3807.2,152.72,150.93,152.95,152.95,152.93,140.09,141.34,134.51,137.61,138.92,136.48,141.39,138.87,no data,no data
guoxinsz04-dot-v5,310.66,9646.64,24661.23,18453.66,1979.89,230.07,210.85,205.13,190.94,190.49,182.9,178.18,171.1,168.48,927.07,3810.49,153.36,151.58,153.79,154.09,154.52,140.58,141.79,134.97,138.1,139.6,137.26,142.5,139.69,no data,no data
guoxinsz05-dot-v2,295.78,9609.17,24621.18,17644.74,2045.7,222.35,206.7,200.98,188.73,188.09,180.53,176.43,169.22,167.18,642.32,3819.79,151.65,149.67,151.68,151.7,151.42,139.36,140.33,133.58,136.6,137.93,135.48,140.14,138.09,no data,no data
guoxinsz05-dot-v5,296.61,9609.3,24622.05,17645.46,2046.86,223.74,207.8,202.07,189.76,188.9,181.18,177.12,169.77,167.75,643.03,3820.55,152.08,150.09,152.2,152.2,151.92,139.71,140.68,133.84,136.89,138.24,135.83,140.58,138.51,no data,no data
hb01-v16,296.57,9986.32,24653.72,17802.27,1706.64,212.47,196.37,191.12,179.43,178.12,172.8,167.67,160.4,157.46,395.48,3976.4,139.93,138.92,141.27,140.33,141.29,127.35,128.56,121.74,124.82,126.37,123.01,127.71,125.81,no data,no data
hb02-dot-v2,321.37,9769.13,24406.04,18011.03,1752.63,214.8,199.06,195.21,181.62,180.16,172.2,167.61,160.84,157.95,1510.09,3794.31,141.31,139.67,141.77,141.32,141.49,128.46,129.93,122.95,125.85,126.97,124.16,129.51,128.05,no data,no data
