Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-dot-v2,250.99,9050.01,97.35,24.05,23.32,22.05,17.54,17.16,16.44,16.19,17.18,17.32,17.79,18.38,3783.98,2117.82,18.77,18.72,18.82,18.68,18.33,17.34,17.22,17.16,17.45,17.59,17.68,18.13,18.1,18.19,18.1
dongfangsz02-dot-v2,105.93,9067.41,59.96,13.61,13.9,12.12,7.86,7.34,6.69,6.23,6.2,6.19,6.08,6.24,2846.21,2135.29,7.8,7.79,7.9,7.79,8.03,7.92,8.14,8.1,8.21,8.14,8.37,8.66,8.35,8.33,8.25
ft100-dot-v2,112.57,9044.85,69.62,23.98,23.26,22.07,16.75,15.9,14.67,13.82,13.6,13.14,16.39,16.06,2897.45,2144.82,20.94,20.95,21.09,21.06,21.59,21.77,22.17,19.77,19.83,19.6,19.33,19.16,19.03,19.1,19
ft11-dot-v2,205.38,9051.06,102.53,26.15,25.44,24.31,19.48,19.1,18.31,18.07,18.08,17.97,17.84,17.97,3834.89,2133.07,18.56,18.49,18.54,18.45,18.62,18.32,18.49,18.43,18.5,18.48,18.64,18.79,18.79,18.88,18.78
gfsz01-dot-v2,117.08,9036.56,59.42,15.16,14.57,14.61,8.91,8.41,7.7,7.61,7.58,7.43,7.34,7.49,3194.18,2178.72,8.16,8.14,8.27,8.13,8.36,7.85,7.89,7.76,7.89,7.85,8,8.22,7.86,7.85,7.78
guoxinsz03-dot-v2,145.12,9038.32,87.68,14.41,13.75,12.64,8.26,8.05,7.49,7.39,7.54,7.43,7.39,7.51,3588.13,2105.04,7.87,7.87,7.96,7.93,8,7.66,7.75,7.68,7.8,7.77,7.92,8.08,7.82,7.83,7.76
guoxinsz03-dot-v5,153.61,9038.55,86.45,14.52,13.9,12.91,8.41,8.16,7.58,7.48,7.59,7.48,7.43,7.55,3628.68,2104.33,7.91,7.91,8.01,7.97,8.09,7.7,7.78,7.7,7.83,7.8,7.97,8.18,7.83,7.83,7.77
guoxinsz04-dot-v2,103.17,9033.29,60.16,14.62,13.96,12.89,8.39,8.14,7.63,7.56,7.7,7.57,7.53,7.66,2793.86,2115.84,7.99,7.97,8.1,8,8.13,7.8,7.88,7.8,7.91,7.88,8.03,8.19,7.93,7.94,7.87
guoxinsz04-dot-v5,104.71,9034.25,59.92,14.94,14.29,13.58,8.52,8.26,7.69,7.64,7.8,7.62,7.58,7.69,2843.03,2125.9,8.04,8.01,8.2,8.09,8.32,7.84,7.91,7.83,7.95,7.93,8.1,8.32,7.94,7.96,7.89
guoxinsz05-dot-v2,83.53,9027.91,61.6,13.79,13.17,12.24,8.01,7.84,7.45,7.3,7.51,7.38,7.34,7.47,2247.52,2107.84,7.79,7.8,7.88,7.81,7.9,7.6,7.71,7.64,7.76,7.71,7.87,8.01,7.79,7.8,7.74
