Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-dot-v2,252.79,264.9,163.73,131.24,134.69,124.66,115.66,113.96,109.15,108.87,107.87,107.33,108.13,104.27,514.79,218.61,106.87,106.5,106.19,102.9,106.06,101.01,103.19,99.42,100.18,102.5,107.22,15228.03,105.88,111.63,106.16
dongfangsz02-dot-v2,838.79,304.19,202.21,177.48,179.4,160.99,152.89,154.06,154.9,160.2,159.28,163.71,166.78,164.9,704.04,302.92,181.94,182.32,183.79,178.45,184.59,182.41,188.61,182.17,182.83,183.86,193.18,17752.08,196.88,204.42,193.17
ft100-dot-v2,816.87,267.1,163.94,131.15,134.68,124.89,115.08,112.54,107.32,106.63,104.37,103.25,106.81,101.97,602.54,221.59,109.05,108.8,108.54,105.36,109.36,105.39,108.24,101.9,102.47,104.47,109.07,16021.03,106.81,112.61,106.98
ft11-dot-v2,254.8,268.16,165.7,133.33,136.8,127.08,117.66,115.84,110.99,110.5,108.55,107.82,108.07,103.96,507.68,218.4,106.59,106.27,105.9,102.64,106.29,101.88,104.48,100.49,101.12,103.37,108,12757.17,106.65,112.4,106.23
gfsz01-dot-v2,856.3,279.4,177,143.6,146.42,136.7,127.24,125.13,120.82,120.58,118.39,117.69,118.32,113.69,598.04,228.69,117.15,116.64,115.86,113.29,116.41,111.8,114.46,110.38,111.55,113.3,117.87,14699.04,116.3,122.55,116.85
guoxinsz03-dot-v2,227,274.06,172.78,140.29,143.18,133.89,124.39,122.67,118.01,118.21,116.02,115.26,115.77,111.23,541.57,225.59,113.89,113.62,112.95,109.93,113.68,109.17,111.49,107.82,108.15,110.61,115.59,17258.07,113.39,119.47,114.17
guoxinsz03-dot-v5,292.7,274.24,172.88,140.51,143.44,133.87,124.51,122.85,118.29,118.38,116.16,115.44,115.94,111.45,538.98,225.91,114.19,113.84,113.11,110.31,114.05,109.45,111.89,108.01,108.72,110.92,115.98,16407.2,113.79,119.69,114.17
guoxinsz04-dot-v2,824.59,275.65,173.02,140.46,143.49,134.04,124.68,122.65,118.05,118.48,116.16,115.61,115.92,111.34,619.29,225.58,113.92,113.79,113.19,110.36,113.83,109.46,111.83,107.99,108.36,110.81,115.79,17258.26,113.57,119.73,114.2
guoxinsz04-dot-v5,824.4,276.31,173.47,141.19,144.08,134.33,124.8,123.12,118.48,118.88,116.44,115.79,116.17,111.63,613.22,226.63,114.2,113.99,113.53,110.69,114.26,109.72,112.12,108.19,108.94,111.14,116.16,16637.7,114.04,119.85,114.44
guoxinsz05-dot-v2,819.83,273.26,170.18,138.69,141.33,132.86,123.51,121.54,117.45,117.43,115.62,114.81,115.23,110.86,682.87,224.69,113.08,112.8,112.17,109.96,112.9,108.6,111.17,107.08,107.58,110.15,114.77,15423.11,112.96,119.15,113.43
guoxinsz05-dot-v5,819.79,273.87,170.68,139.02,141.97,133.24,123.7,121.69,117.63,117.64,115.83,115.01,115.41,110.99,683.7,225.07,113.29,112.96,112.37,110.14,113.12,108.78,111.38,107.28,107.73,110.29,114.97,15423.24,113.03,119.2,113.48
hb01-v16,754.28,228.82,168.57,132.87,136.12,125.58,115.06,113.24,108.74,108.19,107.42,106.49,107.03,103.6,857.7,204.47,106.21,106.56,106.28,102.56,106.08,102.71,104.78,100.83,101.08,102.81,108.13,41722.71,106.86,112.53,107.98
hb02-dot-v2,261.39,261.84,162.54,130.45,132.96,124.06,114.46,112.99,108.42,108.51,106.24,105.28,105.72,101.2,511.16,215.46,103.94,103.58,103.85,100.46,103.76,99.38,101.89,98.03,98.28,100.44,104.96,10674.4,104.45,109.72,103.54
hb04-dot-v2,248.14,264.63,167.6,133.9,136.82,125.88,115.93,113.81,109.31,108.94,107.23,106.25,106.63,101.99,506.95,218.84,105.48,105.24,104.12,101.53,105.72,100.07,103.31,99.11,99.58,101.6,106.08,8632.02,105.28,110.05,103.61
hb04-dot-v5,238.94,265.06,165.05,132.3,134.62,125.37,115.38,113.28,109.03,108.73,107.23,106.21,106.65,101.82,495.46,213.6,105.1,105.07,104.39,101.57,104.61,99.73,103.01,99.12,99.17,102.06,105.93,8508.69,104.83,109.75,103.53
hb08-dot-v2,819.86,263.52,160.55,128.37,131.64,122.52,113.72,111.92,107.48,107.67,105.73,105.27,105.48,101.07,607.71,214.54,103.29,102.89,102.65,99.49,103.11,98.94,101.3,97.57,97.95,100.13,105.34,17658.34,103.1,109.26,103.9
hb09-dot-v2,820.18,263.32,160.75,128.24,131.66,122.64,113.71,111.87,107.49,107.67,105.63,105.22,105.37,100.65,552.39,215.36,103.38,102.96,102.62,99.8,103.03,98.65,101.23,97.33,97.72,100.16,104.85,12754.04,103.44,109.31,103.11
hb09-dot-v5,821.44,264.74,161.84,129.32,132.96,123.52,114.27,112.49,107.98,108.06,106.08,105.65,105.74,101.1,554.11,216.06,103.7,103.28,102.82,100.15,103.51,99.15,101.7,97.64,98.08,100.37,105.12,12288.13,103.98,109.44,103.23
hb09-dot-v5_xuxin,184.17,260.22,159.33,127.61,131.18,121.82,112.13,110.42,106.1,106.1,104.08,103.07,103.33,98.77,557.81,205.95,101.29,101.03,100.5,98.22,101.15,97.52,99.91,95.97,96.71,98.69,103.52,14388.86,103.38,109.23,103.48
hbsz04-dot-v2,845.69,272.83,170.5,137.94,141.52,131.76,122.46,120.53,115.85,115.86,113.93,113.1,113.54,108.98,550.77,224.13,112.04,111.45,110.89,108.16,111.63,106.88,109.83,105.86,106.05,108.42,112.83,10939.9,112.21,117.52,111.32
hbsz04-dot-v5,847.29,273.41,171.42,138.77,142.73,132.3,122.7,120.93,116.17,116.21,114.11,113.44,113.92,109.26,552.17,224.7,112.2,111.62,111.2,108.4,112.05,107.2,110.26,106.33,106.38,108.66,113.09,10940.17,112.28,117.62,111.4
hbsz06-dot-v2,830.05,273.1,171.18,138.89,142.13,132.29,122.85,120.85,115.99,116.12,114.13,113.47,113.75,109.11,562.55,224.54,112.13,111.49,111.12,108.3,111.76,107.22,109.88,105.84,106.27,108.46,113.19,12296.39,111.91,117.59,111.42
hbsz07-dot-v2,828.56,271.06,169.2,136.9,140.33,131.02,122.2,120.04,115.49,115.52,113.64,112.83,113.45,108.75,548.9,223.1,111.36,110.88,110.56,107.77,111.07,106.61,109.58,105.62,105.68,108.29,112.55,10044.03,111.81,117.28,111.07
hbsz08-dot-v2,828.84,271.17,169.09,136.96,140.01,131.01,122.19,120.05,115.33,115.43,113.57,113.03,113.22,108.78,537.76,222.6,111.33,110.79,110.52,107.31,110.97,106.51,109,105.4,105.64,107.96,113.08,17255.5,110.95,117.27,111.69
hbsz08-dot-v5,833.41,273.05,170.66,137.92,141.88,131.68,122.38,120.43,115.63,115.61,113.78,112.99,113.47,108.92,545.76,223.49,111.6,111.31,110.71,107.89,111.33,106.73,109.81,106,106.05,108.35,112.8,10682.92,111.9,117.34,111.23
hlsz01-dot-v2,278.46,270.34,171.4,138.93,141.9,132.68,123.19,121.04,116.05,116.28,114.33,113.37,113.7,111.05,455.16,224.25,112.3,112.01,111.45,108.39,112.31,107.47,110.41,106.49,106.5,109.16,113.44,8381.86,112.88,117.71,111.36
