Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-dot-v2,285.05,9164.31,24512.13,17841.75,1847.33,215.55,197.05,191.71,178.06,176.19,167.71,166.22,162,155.58,1525.07,3301.04,142.63,141.03,142.67,143.29,143.29,131.31,133.94,124.58,128.98,129.63,126.29,129.65,120.03,117.4,118.32
dongfangsz02-dot-v2,196.5,9081.46,24806.54,17292.26,2053.72,252.23,225.11,221.31,215.7,210.85,205.59,204.8,201.45,198.02,1059.43,3407.43,223.24,213.33,220.07,215.57,217.34,210.75,208.47,199.95,207.89,210.94,209.12,211.57,200.95,200.42,192.76
ft100-dot-v2,166,9053.36,24781.76,18103.09,1980.63,215.7,196.27,190,176.07,173.96,164.03,162.21,160.36,152.8,967.56,3288.3,144.87,143.22,145.21,145.22,146.65,135.79,138.97,127.16,131.41,131.71,128.21,130.88,120.97,118.41,119.5
ft11-dot-v2,244.89,9139.63,24484.55,17962.74,1880.13,217.78,198.75,193.17,179.62,177.8,168.19,166.67,161.72,154.89,1559.83,3290.67,142.23,140.73,142.35,142.37,143.43,132.19,134.76,125.82,130.03,130.49,127.28,130.28,120.48,118.15,119.02
gfsz01-dot-v2,235.32,9085.37,24807.88,18051.42,1965.02,236.24,214.52,207.19,192.21,190.92,180.37,178.48,173.02,165.33,1138.52,3281.35,155.74,152.99,154.56,155.07,156.02,143.99,146.42,137.68,142.55,142.93,140.21,142.86,131.39,129.42,129.91
guoxinsz03-dot-v2,248.1,9160.92,24520.74,17885.82,1857.72,225.98,206.89,200.71,187.16,185.74,175.92,174.46,170.01,163.84,1365.13,3328.4,151.59,149.37,150.79,152.51,152.22,141.32,143.92,134.75,138.81,139.73,137.06,139.83,128.8,126.46,127.39
guoxinsz03-dot-v5,252.67,9162.06,24534.63,17822.69,1836.8,227.96,208.85,202.39,188.51,186.99,176.93,175.47,170.75,164.35,1391.47,3323.62,152.4,150.14,151.62,153.23,153.23,141.89,144.37,135.35,139.33,140.57,137.87,140.8,128.71,126.66,127.4
guoxinsz04-dot-v2,306.23,9060.61,24791.13,18113.9,1980.58,226.94,207.07,200.61,187.26,186.2,176.07,174.88,169.93,163.88,933.29,3306.56,151.33,149.55,151.32,152.59,152.24,141.51,144.11,134.71,138.99,140.16,137.24,140.07,128.96,126.7,127.62
guoxinsz04-dot-v5,308.84,9066.05,24795.79,18084.67,1974.56,231.02,208.64,202.28,188.02,187.19,177.43,175.66,170.67,163.86,944.63,3300.01,152.04,150.19,152.31,153.68,153.95,141.97,144.6,135.18,139.49,140.8,138.06,140.97,128.84,126.83,127.71
guoxinsz05-dot-v2,295.68,9032.23,24763.83,17264.91,2031.33,223.53,204.47,197.71,185.75,184.72,174.5,173.6,169.24,162.75,622.81,3338.22,150.69,148.33,149.47,150.29,150.71,140.86,142.99,134.34,138.32,139.1,136.2,138.74,128.56,126.36,127.25
