Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-dot-v2,184.49,8972.66,78.94,23.95,23.35,22.06,17.68,17.12,16.54,16.44,17.2,17.39,17.98,18.49,3965.86,1634.73,18.86,18.79,18.84,18.82,18.47,17.6,17.37,17.3,17.54,17.77,17.75,18.14,18.21,18.13,18.08
dongfangsz02-dot-v2,84.27,8936.67,49.11,15.38,15.44,13.55,8.2,7.53,6.88,6.59,6.32,6.34,6.36,6.44,2783.32,1633.13,8,7.88,7.96,7.93,8.28,8.16,8.37,8.32,8.35,8.42,8.56,8.72,8.52,8.46,8.27
ft100-dot-v2,108.53,8922.17,57.42,23.86,23.3,22.09,16.87,15.87,14.79,14,13.63,13.18,16.67,16.17,2832.79,1644.64,21.03,20.97,21.1,21.16,21.75,21.99,22.32,19.88,19.85,19.78,19.44,19.16,19.09,19.13,19
ft11-dot-v2,157.64,8956.88,82.87,26.05,25.45,24.31,19.58,19.06,18.43,18.29,18.11,17.99,18.04,18.11,4008.32,1640.04,18.69,18.55,18.57,18.56,18.79,18.57,18.64,18.58,18.6,18.69,18.74,18.73,18.89,18.78,18.75
gfsz01-dot-v2,86.97,8921.87,47.47,15.02,14.74,14.52,9.2,8.46,7.9,7.83,7.61,7.52,7.61,7.61,3243.31,1628.75,8.25,8.18,8.28,8.24,8.54,8.03,8.03,7.87,7.87,7.97,8.1,8.22,7.95,7.65,7.63
guoxinsz03-dot-v2,95.38,8949.78,69.01,14.24,13.68,12.58,8.34,7.97,7.59,7.6,7.56,7.48,7.63,7.61,3749.16,1628.48,7.97,7.88,7.94,7.99,8.09,7.84,7.89,7.78,7.8,7.89,8,8.05,7.87,7.79,7.66
guoxinsz03-dot-v5,108.97,8949.85,68.43,14.34,13.84,12.85,8.54,8.13,7.68,7.66,7.64,7.56,7.66,7.65,3800.63,1626.87,8.01,7.95,8,8.05,8.19,7.89,7.9,7.8,7.82,7.88,8.06,8.14,7.87,7.77,7.66
guoxinsz04-dot-v2,85.82,8910.59,47.79,14.44,13.88,12.82,8.46,8.08,7.74,7.74,7.73,7.66,7.77,7.74,2712.89,1625.69,8.06,8,8.13,8.05,8.22,7.96,8,7.89,7.9,7.99,8.11,8.2,7.97,7.93,7.82
guoxinsz04-dot-v5,86.11,8912.83,47.13,14.67,14.24,13.66,8.6,8.25,7.82,7.8,7.82,7.69,7.81,7.77,2766.53,1631,8.12,8.04,8.22,8.15,8.44,8,8.02,7.92,7.93,8.04,8.17,8.29,7.98,7.94,7.8
guoxinsz05-dot-v2,79.82,8894.42,48.59,13.74,13.22,12.21,8.09,7.78,7.56,7.55,7.49,7.42,7.58,7.55,2152.78,1634.9,7.88,7.81,7.86,7.89,8.01,7.78,7.86,7.74,7.76,7.84,7.96,7.98,7.86,7.65,7.63
guoxinsz05-dot-v5,79.89,8894.96,48.77,13.82,13.4,12.33,8.17,7.82,7.61,7.57,7.52,7.45,7.6,7.58,2153.4,1634.97,7.91,7.83,7.89,7.91,8.03,7.79,7.88,7.76,7.77,7.85,7.98,8.01,7.86,7.66,7.63
hb02-dot-v2,218.68,8972.57,71.32,21.67,21.07,20.33,15.98,15.75,15.22,15.19,15.11,15.04,15.12,15.07,3956.46,1632.26,15.45,15.4,15.55,15.54,15.68,15.36,15.4,15.3,15.34,15.45,15.5,15.66,15.44,15.18,15.12
hb04-dot-v2,124.41,8973.55,75.96,23.04,22.69,21.33,16.38,16.1,15.47,15.39,15.26,15.15,15.23,15.13,4038.47,1637.28,15.77,15.73,15.86,15.87,16.14,15.46,15.52,15.36,15.43,15.53,15.66,15.97,15.48,15.24,15.14
hb04-dot-v5,131.57,8977.67,73.6,22.31,21.72,21,16.15,15.75,15.25,15.24,15.13,15.06,15.15,15.04,4082.9,1634.46,15.53,15.52,15.58,15.6,15.79,15.4,15.43,15.32,15.33,15.51,15.55,15.77,15.45,15.26,15.14
hb08-dot-v2,95.75,8910.44,54.59,21.25,20.75,19.77,15.7,15.38,15.06,15.1,15.01,15,15.05,14.95,2713.73,1632.26,15.3,15.28,15.37,15.38,15.58,15.3,15.32,15.22,15.28,15.36,15.42,15.53,15.38,15.31,15.16
hb09-dot-v2,97,8927.79,53.14,21.26,20.71,19.74,15.71,15.39,15.02,15.1,15,14.99,15.03,14.96,3431.88,1648.16,15.28,15.3,15.32,15.39,15.6,15.28,15.33,15.24,15.29,15.36,15.42,15.53,15.41,15.15,15.11
hb09-dot-v5,97.03,8929.47,53.86,21.52,21.03,20.32,16.03,15.55,15.12,15.15,15.02,15.01,15.07,14.98,3433.06,1648.52,15.33,15.36,15.4,15.49,15.65,15.32,15.35,15.25,15.29,15.4,15.45,15.57,15.42,15.15,15.1
hb09-dot-v5_xuxin,127.43,8911.57,54.76,22.54,21.93,20.65,16.14,15.81,15.33,15.4,15.21,15.18,15.28,15.19,3502.33,1702.79,15.68,15.64,15.72,15.72,15.96,15.53,15.57,15.48,15.53,15.63,15.75,15.92,15.59,15.3,15.24
hbsz01-v16,60.97,8644.8,53.64,13.32,12.83,11.9,7.98,7.62,7.37,7.47,7.34,7.32,7.43,7.31,1606.62,1375.07,7.81,7.71,7.76,7.78,7.92,7.69,7.72,7.64,7.66,7.78,7.86,7.93,7.87,7.66,7.79
hbsz02-v16,48.21,8647.23,54.75,13.45,12.94,11.99,8.02,7.62,7.39,7.5,7.41,7.34,7.5,7.35,1347.22,1372.87,7.92,7.86,7.76,7.93,8.01,7.91,7.74,7.67,7.69,7.81,7.89,7.97,7.88,7.7,7.8
hbsz03-v16,1110.24,8648.59,54.91,13.36,12.86,11.94,7.98,7.61,7.39,7.46,7.37,7.33,7.44,7.33,1401,1373.18,7.81,7.72,7.77,7.8,7.93,7.68,7.74,7.63,7.67,7.77,7.85,7.95,7.87,7.66,7.78
hbsz04-dot-v2,93.9,8930.96,45.33,13.57,13.04,12.1,8.14,7.88,7.47,7.56,7.45,7.45,7.56,7.54,3586.46,1634.75,7.92,7.83,7.85,7.87,8.04,7.79,7.84,7.73,7.74,7.86,7.95,7.99,7.85,7.57,7.53
hbsz04-dot-v5,88.16,8920.39,45.5,13.76,13.51,12.48,8.33,8.04,7.57,7.62,7.49,7.51,7.6,7.59,3588.6,1635.11,7.98,7.85,7.91,7.93,8.11,7.83,7.87,7.76,7.79,7.87,8,8.09,7.87,7.57,7.53
hbsz05-v16,59.55,8646.42,54.98,13.45,12.93,12,8,7.6,7.38,7.52,7.38,7.34,7.44,7.33,1266.25,1375.16,7.79,7.77,7.75,7.87,7.96,7.69,7.74,7.63,7.7,7.78,7.86,7.97,7.85,7.68,7.78
hbsz06-dot-v2,81.71,8921.31,45.49,13.7,13.17,12.21,8.18,7.93,7.52,7.59,7.47,7.48,7.59,7.56,3445.08,1639.7,7.92,7.83,7.89,7.9,8.04,7.82,7.88,7.76,7.79,7.88,7.97,8.02,7.88,7.62,7.57
hbsz07-dot-v2,81.41,8917,45.34,13.5,12.97,12.13,8.11,7.82,7.46,7.54,7.43,7.43,7.55,7.51,3567.67,1634.48,7.86,7.8,7.83,7.84,7.98,7.76,7.82,7.71,7.74,7.85,7.93,7.95,7.82,7.58,7.52
hbsz08-dot-v2,81.7,8920.54,45.25,13.53,12.97,12.17,8.15,7.89,7.49,7.55,7.44,7.42,7.54,7.51,3718.39,1629.06,7.85,7.78,7.84,7.9,8,7.77,7.78,7.71,7.75,7.83,7.92,7.96,7.8,7.72,7.58
hbsz08-dot-v5,81.89,8918.48,45.75,13.81,13.63,13.24,8.62,8.02,7.74,7.68,7.59,7.54,7.61,7.63,3668.57,1631.55,7.93,7.89,8.02,7.92,8.12,7.8,7.92,7.78,7.78,7.88,7.98,8.07,7.84,7.57,7.53
hlsz01-dot-v2,157.84,8958.67,62.13,14.09,13.59,12.66,8.7,8.38,8.08,8.1,8.04,7.95,8.14,8.09,3864.81,1623.84,8.34,8.31,8.35,8.38,8.59,8.3,8.36,8.28,8.29,8.49,8.48,8.57,8.47,8.26,8.16
hlsz01-dot-v5,160.53,8959.44,60.97,14.29,13.79,12.79,8.74,8.42,8.1,8.15,8.06,7.97,8.15,8.13,3865.35,1624.26,8.36,8.35,8.41,8.42,8.6,8.34,8.39,8.31,8.31,8.5,8.5,8.58,8.47,8.27,8.18
hlsz02-dot-v2,145.88,8975.81,65.46,14.47,13.91,13.06,8.95,8.68,8.3,8.39,8.21,8.18,8.32,8.35,4084.85,1623.73,8.62,8.65,8.63,8.66,8.85,8.56,8.65,8.52,8.53,8.68,8.7,8.8,8.6,8.46,8.31
hlsz02-dot-v5,116.98,8957.51,66.3,14.31,13.84,12.94,8.74,8.49,8.17,8.23,8.14,8.09,8.21,8.25,3894.05,1588.32,8.46,8.49,8.54,8.51,8.71,8.42,8.51,8.43,8.42,8.57,8.52,8.68,8.51,8.33,8.23
hlsz03-dot-v2,112.46,8944.19,68.44,14.46,13.95,13.09,8.92,8.63,8.33,8.4,8.22,8.2,8.26,8.32,3715.49,1629.91,8.64,8.65,8.64,8.72,8.86,8.57,8.59,8.51,8.52,8.67,8.72,8.8,8.6,8.4,8.35
hlsz05-dot-v2,140.02,8961.01,66.96,14.07,13.57,12.63,8.65,8.37,8.06,8.14,8.05,8.02,8.11,8.16,3877.86,1622.69,8.29,8.3,8.37,8.38,8.58,8.59,8.37,8.29,8.33,8.45,8.46,8.57,8.45,8.22,8.16
hlsz06-dot-v2,83.26,8943.43,69.3,14.49,14.03,13.13,9.12,8.71,8.36,8.36,8.22,8.17,8.32,8.31,3997.59,1631.17,8.63,8.57,8.69,8.74,8.82,8.61,8.63,8.49,8.58,8.65,8.76,8.8,8.6,8.4,8.36
hlsz07-dot-v2,95.68,8932.49,70.61,14.42,13.85,12.97,8.97,8.64,8.27,8.33,8.18,8.11,8.26,8.31,4083.22,1626.74,8.57,8.61,8.62,8.64,8.8,8.51,8.57,8.49,8.51,8.63,8.71,8.78,8.6,8.36,8.28
hlsz08-dot-v2,108.9,8931.93,70.25,15.14,15.52,13.66,10.96,10.64,11.16,9.34,10.9,9.53,9.23,9.45,4084.63,1623.72,8.65,10.81,9.82,9.47,10.79,11.54,9.25,9.48,8.75,9.97,9.15,9.84,8.71,9.52,8.44
hlsz09-dot-v2,144.61,8962.77,61.11,14.39,13.85,13.02,8.9,8.65,8.29,8.26,8.17,8.13,8.27,8.27,3934.11,1625.76,8.55,8.57,8.63,8.64,8.78,8.48,8.58,8.46,8.48,8.66,8.69,8.76,8.58,8.39,8.29
ht02-dot-v2,139.53,9041.62,71.05,29.31,28.52,27.71,20.91,20.4,20.74,21.38,21.87,22.65,22.91,22.69,4099.33,1638.21,21.16,21.21,20.52,20.71,20.87,23.12,23.64,23.81,23.45,23.02,21.99,20.55,23.29,24.6,24.11
