Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-merge and gfex,123.93,7484.93,8351.89,2045.79,4629.82,7023.43,7078,6382.36,6214.57,5467.32,9131.39,1464.44,3916.71,4715.82,no data,no data,no data,no data,no data,no data,no data,4942.71,7373.96,4759.79,6837.54,1815.61,1881.11,3330.11,5205.85,5955.04,2183.61
ft11-merge,66.07,7703.21,8639.43,2261.93,4871.29,7234.93,7150.64,6651.75,6411.5,5628.89,9231.18,1514.11,4038.61,4705.96,no data,no data,no data,no data,no data,no data,no data,5015.29,7466.29,4829.39,6953.88,1878.89,1921.21,3360.71,5041.71,6054.86,2285.46
hb01-hb,36.44,7129.16,8153.56,1692.4,4290.52,6677.44,6746.36,6122.92,5926.28,5271.04,8729.52,1204.21,3581.56,4313.36,no data,no data,no data,no data,no data,no data,no data,4747.12,7239.16,4423.72,6625.83,1522.44,1623.2,2990.08,4912.52,5890.68,2006.56
hb03-hb,116.04,7170.12,8102.56,1771.92,4377.64,6807,6717.92,6183.12,5972.88,5281.56,8748.8,1212.38,3662.16,4286.88,no data,no data,no data,no data,no data,no data,no data,4767.32,7264.48,4440.12,6641.96,1544.16,1656.16,3028.88,4932.4,5916.44,2040.12
hb05-hb,60.67,7177.36,8124.12,1751.12,4329.72,6771.56,6775.08,6149.8,5947.88,5289.64,8776.36,1235.21,3540.72,4363.84,no data,no data,no data,no data,no data,no data,no data,4792,7223.76,4415.4,6676.52,1524.12,1616.12,3023.84,4877.12,5964.92,2086.8
hbsz01-hb,85.67,8660.64,9593.48,3125.6,6103.64,8269.4,7991,7303.72,7144.04,6160.28,10003.68,2131.29,4485.76,5524.36,no data,no data,no data,no data,no data,no data,no data,5803.8,8271.68,5315.72,7580,2555.48,2415.4,3988.12,5511.36,6523.6,2680.56
hbsz02-hb,166,8750.24,9682.48,3189.32,6157.36,8284.64,8065.88,7306.56,7186.24,6186.24,10023.48,2147.63,4573.56,5485.36,no data,no data,no data,no data,no data,no data,no data,6029.48,8219.16,5319.92,7636.48,2652.76,2507.08,4025.32,5531,6552.84,2641.72
xtpsh01-merge,50.89,7269.43,8303.75,1809.32,4408.75,6853.86,6942.07,6321.71,6096.43,5371.71,8850.04,1300.74,3781.68,4497.25,no data,no data,no data,no data,no data,no data,no data,4801.89,7282.21,4608.39,6707.58,1608.46,1692,3103.79,4863.79,5874.5,2100.82
xtpsh05-merge,62.04,7258.46,8296.57,1874.43,4487.43,6864.89,6867.54,6414.43,6173.57,5436.14,8981.75,1347.15,3758,4511.43,no data,no data,no data,no data,no data,no data,no data,4807.79,7266.14,4608.89,6765.81,1612.39,1713.79,3130.57,4892.64,5899.86,2190.93
xtpsh06-merge,61.04,7308.68,8287.75,1845.14,4465.61,6913.54,6931.43,6397.36,6148.75,5412.64,8949.18,1303.07,3854.43,4486.89,no data,no data,no data,no data,no data,no data,no data,4797.86,7316.61,4650.71,6747.15,1649.36,1733.89,3160.25,5120.7,5864.64,2092.21
xtpsh08-merge,51.61,7283,8311.21,1823.18,4425.36,6865.46,6948.5,6327.07,6098.18,5381.14,8904.21,1297.11,3867.18,4454.07,no data,no data,no data,no data,no data,no data,no data,4832.5,7306.96,4632.04,6731.69,1629.71,1717.71,3147,4890.36,5897.32,2127.29
ztcffex01-merge,46.96,7160.75,8229.32,1750.39,4362.18,6789.43,6884.82,6217.14,6062.61,5334.68,8848.32,1246.74,3724.64,4440.96,no data,no data,no data,no data,no data,no data,no data,4778.25,7264.04,4563.5,6671.31,1577.96,1668.61,3027.89,4827.64,5859.36,2109.57
